service_slug,city_slug,position,question,answer,published
pompe-a-chaleur,marcq-en-baroeul,1,"Air/eau ou air/air : que choisir à Marcq-en-Barœul ?","Air/eau pour alimenter radiateurs/plancher et produire l'ECS (remplacement de chaudière). Air/air pour chauffage/rafraîchissement sans ECS, adapté aux surfaces modestes ou en appoint.",true
pompe-a-chaleur,marcq-en-baroeul,2,"La PAC est-elle efficace l'hiver à Marcq ?","Oui si dimensionnée pour la basse température et avec une loi d'eau bien réglée. En pointe de froid, un appoint (électrique ou chaudière conservée) assure le confort.",true
pompe-a-chaleur,marcq-en-baroeul,3,"Compatibilité avec mes radiateurs en fonte/acier ?","Souvent oui : on vérifie la température de départ requise, on réalise un désembouage et on rééquilibre les débits ; quelques émetteurs peuvent être remplacés par des modèles basse température.",true
pompe-a-chaleur,marcq-en-baroeul,4,"Bruit et voisinage au Croisé-Laroche/Bourg : risques ?","Unités silencieuses sur plots antivibratiles ; respect des distances et ajout d'écrans si besoin. Gestion des condensats pour éviter nuisances/givre.",true
pompe-a-chaleur,marcq-en-baroeul,5,"Pose en copropriété : quelles démarches ?","Dossier syndic/AG : fiches techniques et acoustiques, plan d'implantation (cour/façade), schéma hydraulique et évacuations. Possibilité d'échanges techniques avec le syndic.",true
pompe-a-chaleur,marcq-en-baroeul,6,"Quelles économies espérer à Marcq-en-Barœul ?","Une PAC bien dimensionnée vise un SCOP élevé et réduit la consommation par rapport au gaz/fioul. Nous fournissons une projection chiffrée après étude thermique.",true
pompe-a-chaleur,marcq-en-baroeul,7,"Entretien : obligatoire ?","Recommandé et obligatoire au-delà d'un seuil de fluide. Contrôles étanchéité, rendement, dégivrage, circulateur, régulation et propreté des échangeurs.",true
pompe-a-chaleur,marcq-en-baroeul,8,"Aides financières (MaPrimeRénov', CEE) à Marcq ?","Nous vérifions l'éligibilité, fournissons devis normalisés/attestations et aidons à constituer le dossier pour maximiser les aides.",true
pompe-a-chaleur,bondues,1,"PAC adaptée aux maisons de Bondues : air/eau ou air/air ?","Air/eau pour radiateurs/plancher + ECS, idéale pour grandes surfaces ; air/air pour chauffage/rafraîchissement en appoint ou zones secondaires.",true
pompe-a-chaleur,bondues,2,"PAC et réseaux hydrauliques longs : est-ce pertinent ?","Oui avec étude hydraulique, réglages basse température, équilibrage et éventuellement circulateur adapté ; la PAC reste performante si le dimensionnement est juste.",true
pompe-a-chaleur,bondues,3,"Où placer l'unité extérieure (secteur campagne/proche golf) ?","En jardin ou cour, sur plots antivibratiles, avec dégagement d'air et gestion des condensats ; écrans acoustiques possibles selon la proximité du voisinage.",true
pompe-a-chaleur,bondues,4,"Remplacement chaudière → PAC : étapes clés ?","Étude thermique, vérif radiateurs, choix PAC, dépose chaudière, pose et mise en service, réglages loi d'eau ; option bivalente si nécessaire.",true
pompe-a-chaleur,bondues,5,"Entretien annuel : que comprend-il ?","Contrôle étanchéité, mesure performance, vérif dégivrage, nettoyage échangeurs/filtrations, tests régulation. Rapport et recommandations.",true
pompe-a-chaleur,bondues,6,"Quelles économies puis-je attendre ?","Selon isolation et usage, économies notables via SCOP élevé ; nous simulons votre cas et optimisons les réglages post-pose.",true
pompe-a-chaleur,bondues,7,"Bruit : risque pour le voisinage ?","Sélection d'unités silencieuses, orientation adéquate, plots/écrans si besoin, respect des seuils acoustiques.",true
